Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,10.2,10.7,11.0,10.8,10.9,10.6,10.0,10.0,9.7,9.8,10.0,9.8
2011,9.5,9.7,9.7,9.9,9.6,10.0,9.1,9.3,9.4,9.4,8.8,8.7
2012,8.5,8.3,8.1,8.0,8.3,8.6,8.5,8.6,8.5,8.3,8.0,8.0
2013,8.1,7.9,7.7,7.5,7.3,7.7,7.5,7.4,7.6,7.2,7.2,7.0
2014,6.5,6.4,6.3,6.2,6.5,5.9,6.1,6.1,5.4,5.7,5.7,5.3
2015,5.4,5.4,5.3,5.5,5.8,5.4,5.5,5.5,5.3,5.2,5.4,5.6
2016,5.2,5.2,5.3,5.5,5.1,5.1,5.1,5.0,5.3,5.4,5.0,5.1
2017,5.2,4.9,4.9,4.6,4.8,4.6,4.5,5.1,4.4,4.2,4.4,4.2
2018,4.4,4.4,4.3,4.3,3.9,4.1,4.1,3.9,3.8,4.0,3.5,3.8
2019,3.7,3.7,3.7,3.4,3.6,3.9,3.6,3.6,3.6,3.7,3.7,3.7
2020,3.8,3.6,4.4,,,,,,,,,
