Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,12.9,12.7,12.9,12.5,12.0,12.3,12.2,12.0,12.3,12.3,12.9,12.9
2011,12.3,11.8,11.6,11.9,11.6,11.5,11.2,11.2,11.2,11.3,11.2,11.1
2012,10.7,10.9,10.6,10.3,10.9,10.9,10.2,10.1,9.7,10.0,9.9,9.6
2013,9.7,9.7,9.3,9.0,9.0,9.1,9.4,9.2,8.8,9.1,8.7,8.3
2014,8.3,8.2,7.9,7.2,7.7,7.8,7.7,7.4,6.8,6.8,6.6,6.4
2015,6.7,6.8,6.8,6.8,6.8,6.7,6.9,6.6,6.2,6.3,6.4,6.2
2016,5.8,5.4,5.5,6.1,5.6,5.9,5.5,5.6,6.4,5.8,5.8,5.9
2017,5.8,5.5,5.0,5.1,5.2,4.9,5.1,5.2,5.1,4.9,4.8,5.0
2018,5.0,4.9,5.0,4.8,4.9,4.5,4.4,4.7,4.6,4.4,4.5,4.4
2019,4.8,4.3,4.7,4.2,4.2,4.3,4.5,4.2,3.9,4.1,4.2,4.2
2020,4.3,4.4,6.0,,,,,,,,,
