Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,10.2,10.3,10.2,10.2,9.7,9.7,9.6,9.6,9.6,9.4,9.9,9.4
2011,9.0,8.9,8.8,8.9,8.8,9.0,8.8,8.7,8.7,8.6,8.2,8.0
2012,7.7,7.7,7.7,7.6,7.7,7.7,7.7,7.6,7.3,7.2,7.2,7.2
2013,7.5,7.0,6.9,7.2,7.1,7.0,7.0,7.1,7.1,6.9,6.6,6.3
2014,6.2,6.3,6.1,5.9,5.9,5.7,5.7,5.7,5.3,5.1,5.4,5.2
2015,5.3,5.2,5.1,5.0,5.2,4.8,4.8,4.7,4.7,4.7,4.8,4.6
2016,4.4,4.5,4.5,4.6,4.5,4.5,4.6,4.5,4.7,4.6,4.3,4.4
2017,4.3,4.3,4.2,3.9,4.0,4.0,4.0,4.1,3.9,3.8,3.8,3.7
2018,3.8,3.7,3.7,3.7,3.6,3.7,3.4,3.5,3.4,3.5,3.3,3.6
2019,3.7,3.5,3.6,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.1
2020,3.3,3.3,4.0,,,,,,,,,
