Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,15.3,15.8,14.9,14.7,14.6,14.2,13.5,14.1,15.6,15.0,15.4,15.0
2011,14.3,14.0,14.1,14.7,14.5,14.4,14.5,14.1,14.3,13.5,12.8,13.7
2012,13.0,13.1,12.8,12.5,12.9,12.6,12.4,11.8,11.7,12.1,12.0,11.8
2013,12.0,11.3,11.1,11.6,11.0,10.7,10.8,11.1,10.5,10.9,10.7,9.8
2014,9.4,9.8,9.4,8.7,9.2,9.2,9.5,9.2,8.5,8.1,8.6,8.6
2015,8.3,8.2,8.6,8.4,8.7,8.2,8.3,7.9,7.9,7.6,6.8,6.4
2016,7.1,7.0,7.3,7.6,7.5,7.6,6.5,7.4,8.5,7.4,7.8,7.5
2017,7.4,7.7,6.6,6.4,6.3,6.5,7.1,6.1,6.7,5.9,5.2,6.2
2018,5.4,5.7,5.5,5.8,5.5,5.5,5.2,5.7,5.7,5.9,5.6,5.8
2019,5.7,5.3,5.8,5.3,5.4,5.3,5.2,5.4,4.8,5.5,5.3,5.2
2020,5.5,5.7,6.8,,,,,,,,,
